,SimpleFull,SimpleBias,SimpleDrift
1,14142.50687,14233.95362,14139.57961
2,14630.1706,14744.72609,14628.53165
3,14537.70961,14637.54271,14539.15229
4,13754.73815,13897.32819,13751.20751
5,13804.11382,13901.60686,13799.832
6,13813.87231,13963.46695,13811.39366
7,14123.4446,14219.90472,14123.09852
8,14118.49674,14249.62493,14116.09403
9,14444.31686,14566.19188,14437.13742
10,14254.43429,14374.61227,14256.24213
11,14565.57492,14714.52731,14562.25574
12,14108.62807,14194.34643,14105.78346
13,14373.79214,14478.3797,14371.82235
14,13714.448,13888.68898,13708.5802
15,14210.30977,14343.49466,14208.34278
16,14164.86877,14317.27212,14161.78625
17,14728.9571,14822.73077,14724.8721
18,14162.18764,14308.39143,14159.05523
19,14416.89002,14518.70519,14410.39269
20,14211.2235,14334.44807,14208.02196
21,14157.72291,14285.11063,14154.6979
22,14426.0356,14576.41049,14426.91905
23,14212.96045,14332.26882,14211.87772
24,13762.61709,13941.31527,13764.58805
25,13798.45915,13927.9705,13797.3151
26,13907.25303,14037.59981,13903.59626
27,14150.2711,14292.90035,14146.47514
28,14386.28687,14490.76094,14385.08945
29,14169.84451,14310.93597,14167.30053
30,14050.38195,14214.69365,14049.07075
31,14572.28635,14713.79148,14573.07148
32,13856.61514,13982.79996,13860.10355
33,14812.01014,14947.64514,14804.44913
34,14045.51836,14192.48778,14042.21024
35,14288.51439,14372.21761,14281.75671
36,14433.20126,14586.96294,14439.06082
37,14631.92889,14775.27264,14633.84605
38,14502.08629,14605.37347,14494.68608
39,14286.53778,14405.5719,14288.73535
40,14054.65706,14173.85487,14045.42836
41,13973.53954,14109.72723,13979.5291
42,14187.7557,14335.2112,14188.7434
43,14255.66499,14380.68106,14253.95565
44,13997.36322,14089.43089,13985.83913
45,13660.61753,13763.30292,13658.91715
46,14025.46047,14169.76411,14029.5174
47,14126.93997,14214.67159,14122.24853
48,14440.8352,14591.01025,14441.41037
49,14013.1366,14148.077,14010.72427
50,14113.786,14265.2261,14107.67172
51,14414.91034,14499.21638,14413.55329
52,14105.67393,14241.41637,14103.39962
53,14419.00464,14541.49356,14415.96094
54,13988.76509,14088.08173,13985.8831
55,14146.52818,14237.97759,14146.41067
56,14239.90431,14385.05724,14237.85711
57,14796.15783,14939.4159,14795.97255
58,14299.96954,14396.20116,14297.81399
59,14087.00734,14174.73795,14086.85121
60,14158.76509,14317.43636,14153.90882
61,14301.23372,14419.57027,14296.82749
62,14731.6502,14844.56292,14727.18132
63,14072.2737,14184.15045,14070.84641
64,13781.24634,13921.6606,13780.72749
65,13769.34821,13825.41576,13759.40139
66,14061.50776,14171.28763,14063.68445
67,14150.79384,14288.70451,14150.21566
68,14472.4479,14647.99141,14470.05102
69,14403.12512,14521.78353,14401.32468
70,13831.02626,13980.87479,13828.74938
71,14289.42624,14398.9084,14285.74798
72,14194.94389,14321.1435,14190.55631
73,14364.20282,14512.83563,14359.81544
74,13900.85203,14071.22488,13902.70057
75,14083.77006,14229.19981,14077.22355
76,14516.51845,14643.54385,14516.40909
77,14342.82046,14453.03089,14340.76073
78,14292.82281,14382.03278,14292.6127
79,14523.32648,14646.69026,14524.26105
80,13814.69128,13966.72097,13816.3563
81,14121.80009,14240.4199,14119.34081
82,14626.1614,14780.18401,14623.74193
83,14286.09635,14420.53521,14282.76642
84,13966.55102,14082.8773,13964.62893
85,14127.79026,14250.76636,14122.89622
86,14236.77397,14380.26034,14240.18242
87,14070.46254,14199.00035,14071.855
88,14115.90079,14302.18828,14115.66831
89,14362.08285,14524.83206,14359.06799
90,14068.82505,14198.92979,14064.68453
91,14335.56986,14468.5393,14339.15913
92,13640.82523,13766.07845,13636.88707
93,14343.78151,14499.16675,14336.04247
94,13983.63145,14122.50386,13983.69738
95,14047.67275,14164.82135,14044.18379
96,14565.63474,14664.92349,14563.32337
97,14794.12688,14937.25824,14790.25999
98,14500.67638,14606.7517,14498.6995
99,14323.71567,14475.1206,14323.69758
100,14309.32634,14452.50456,14308.32638
